class,word,count,probability
pos,film,4853,0.01400310474772482
neg,film,3990,0.013046165114096725
neg,movie,3035,0.009923586747188863
neg,one,2410,0.00788001451753712
pos,one,2626,0.007577200302395504
pos,movie,2384,0.006878920609638568
neg,out,1733,0.0056664170783783515
pos,more,1800,0.005193815896539188
neg,up,1561,0.005104026000778192
pos,out,1687,0.00486775967636756
neg,more,1479,0.004835909324247884
pos,up,1524,0.004397430792403179
neg,even,1190,0.003890961525256918
neg,good,1112,0.0036359237109963804
neg,time,1106,0.0036163054175917236
pos,story,1205,0.0034769711974054003
pos,good,1176,0.0033932930524056023
pos,time,1165,0.003361553066371196
neg,bad,1004,0.0032827944297125593
pos,very,1120,0.0032317076689577164
neg,much,975,0.0031879726782567184
neg,story,901,0.0029460137262659523
pos,character,1011,0.0029171932618895103
neg,character,884,0.0028904285616194246
pos,even,997,0.0028767969160275386
pos,much,978,0.002821973303786292
neg,plot,855,0.0027956068101635837
neg,characters,853,0.0027890673790286983
pos,life,961,0.002772920598096755
pos,characters,947,0.0027325242522347835
neg,two,832,0.0027204033521123997
pos,see,933,0.002692127906372812
pos,two,928,0.0026777006399935368
neg,make,810,0.0026484696096286584
pos,way,913,0.00263441884085571
pos,first,910,0.0026257624810281446
neg,really,770,0.0025176809869309467
pos,well,872,0.002516115256545651
pos,films,865,0.002495917083614665
neg,first,751,0.002455556391149534
neg,way,749,0.002449016960014648
neg,see,746,0.00243920781331232
neg,very,724,0.0023672740708285786
pos,best,798,0.002302591714132373
neg,little,701,0.0022920706127773946
pos,really,767,0.0022131426625808647
pos,make,766,0.0022102572093050097
pos,people,749,0.002161204503615473
neg,scene,657,0.002148203127809912
pos,little,741,0.002138120877408632
pos,great,737,0.0021265790643052117
pos,many,723,0.0020861827184432405
neg,people,636,0.0020795391008936134
neg,films,635,0.0020762693853261707
neg,know,635,0.0020762693853261707
pos,new,715,0.0020630990922363996
neg,never,630,0.0020599208074889566
pos,scene,713,0.002057328185684689
pos,being,707,0.0020400154660295588
neg,scenes,619,0.0020239539362470857
neg,over,619,0.0020239539362470857
pos,never,699,0.002016931839822718
pos,man,694,0.002002504573443442
neg,being,603,0.001971638487168001
neg,action,593,0.0019389413314935733
pos,over,660,0.0019043991620643686
pos,love,638,0.0018409191899955565
neg,man,558,0.0018245012866330759
pos,such,628,0.0018120646572370054
neg,new,550,0.0017983435620935334
pos,scenes,623,0.0017976373908577298
pos,world,618,0.0017832101244784544
neg,movies,544,0.0017787252686888768
neg,through,542,0.0017721858375539911
neg,such,542,0.0017721858375539911
pos,movies,612,0.0017658974048233237
neg,well,540,0.0017656464064191057
neg,made,535,0.0017492978285818916
pos,through,600,0.0017312719655130625
neg,big,524,0.001713330957340021
neg,end,523,0.0017100612417725782
neg,here,523,0.0017100612417725782
neg,go,519,0.001696982379502807
neg,better,519,0.001696982379502807
neg,something,502,0.0016413972148562796
neg,seems,499,0.0016315880681539512
pos,know,565,0.0016302811008581338
neg,another,495,0.0016185092058841801
pos,plot,560,0.0016158538344788582
pos,makes,559,0.0016129683812030032
neg,work,493,0.0016119697747492947
pos,between,553,0.0015956556615478725
neg,best,488,0.0015956211969120806
pos,performance,549,0.0015841138484444521
neg,director,483,0.0015792726190748667
pos,back,546,0.001575457488616887
neg,life,480,0.0015694634723725383
neg,enough,477,0.00155965432567021
pos,seen,536,0.0015466029558583358
pos,seems,530,0.0015292902362032052
neg,few,467,0.001526957169995782
pos,go,527,0.0015206338763756398
neg,back,465,0.0015204177388608965
neg,around,465,0.0015204177388608965
neg,script,465,0.0015204177388608965
neg,many,462,0.0015106085921585681
neg,before,460,0.0015040691610236825
pos,end,519,0.001497550250168799
pos,still,518,0.001494664796892944
pos,something,518,0.001494664796892944
neg,nothing,456,0.0014909902987539113
neg,going,453,0.001481181152051583
neg,audience,452,0.0014779114364841402
pos,those,512,0.0014773520772378133
pos,work,512,0.0014773520772378133
neg,think,447,0.0014615628586469264
pos,both,501,0.0014456120912034072
neg,thing,442,0.0014452142808097123
neg,love,441,0.0014419445652422696
neg,gets,437,0.0014288657029724984
neg,those,434,0.00141905655627017
neg,funny,433,0.0014157868407027273
pos,few,488,0.0014081011986172907
neg,makes,430,0.001405977694000399
pos,role,485,0.0013994448387897255
neg,down,427,0.0013961685472980705
pos,another,483,0.0013936739322380153
pos,made,483,0.0013936739322380153
pos,years,479,0.0013821321191345949
pos,before,475,0.0013705903060311744
neg,still,413,0.0013503925293538715
neg,look,413,0.0013503925293538715
pos,here,467,0.0013475066798243336
pos,same,466,0.0013446212265484786
pos,though,463,0.0013359648667209132
pos,action,461,0.001330193960169203
neg,comedy,405,0.0013242348048143292
neg,actually,402,0.0013144256581120008
pos,take,454,0.0013099957872382173
neg,real,400,0.0013078862269771153
neg,same,395,0.0012915376491399013
neg,last,394,0.0012882679335724585
neg,between,392,0.0012817285024375729
pos,real,441,0.0012724848946521008
neg,fact,389,0.0012719193557352447
neg,take,388,0.0012686496401678017
neg,great,388,0.0012686496401678017
pos,down,436,0.0012580576282728254
neg,played,383,0.001252301062330588
neg,minutes,382,0.0012490313467631452
neg,though,382,0.0012490313467631452
pos,young,431,0.0012436303618935498
pos,right,430,0.0012407449086176948
neg,things,378,0.0012359524844933738
pos,around,428,0.0012349740020659845
neg,role,377,0.001232682768925931
pos,big,427,0.0012320885487901295
pos,enough,422,0.001217661282410854
pos,audience,422,0.001217661282410854
neg,plays,372,0.0012163341910887172
pos,gets,421,0.001214775829134999
pos,things,419,0.0012090049225832887
neg,point,369,0.0012065250443863888
pos,find,418,0.0012061194693074335
pos,family,414,0.001194577656204013
neg,long,365,0.0011934461821166177
pos,quite,412,0.0011888067496523028
neg,acting,362,0.0011836370354142893
pos,last,410,0.0011830358431005926
pos,going,409,0.0011801503898247376
neg,seen,360,0.0011770976042794036
neg,find,360,0.0011770976042794036
pos,director,407,0.0011743794832730274
pos,fact,406,0.0011714940299971722
pos,come,405,0.0011686085767213172
neg,actors,354,0.001157479310874747
neg,years,352,0.0011509398797398614
pos,cast,398,0.0011484104037903313
pos,played,398,0.0011484104037903313
neg,comes,351,0.0011476701641724187
neg,guy,350,0.001144400448604976
pos,takes,396,0.0011426394972386211
neg,cast,349,0.001141130733037533
neg,come,347,0.0011345913019026475
neg,old,346,0.0011313215863352048
pos,john,390,0.0011253267775834905
pos,comedy,387,0.0011166704177559253
pos,look,387,0.0011166704177559253
pos,actually,387,0.0011166704177559253
neg,world,339,0.0011084335773631053
neg,original,338,0.0011051638617956623
pos,funny,382,0.0011022431513766499
neg,show,337,0.0011018941462282196
neg,performance,336,0.0010986244306607769
neg,goes,336,0.0010986244306607769
pos,now,380,0.0010964722448249396
pos,comes,380,0.0010964722448249396
pos,think,379,0.0010935867915490844
pos,plays,379,0.0010935867915490844
pos,each,377,0.0010878158849973742
pos,better,377,0.0010878158849973742
neg,interesting,332,0.0010855455683910057
neg,course,332,0.0010855455683910057
neg,anything,331,0.0010822758528235628
pos,long,375,0.001082044978445664
pos,old,374,0.001079159525169809
pos,star,373,0.0010762740718939538
neg,lot,325,0.0010626575594189062
pos,himself,368,0.0010618468055146784
neg,effects,324,0.0010593878438514633
pos,without,365,0.001053190445687113
neg,part,322,0.0010528484127165778
neg,right,322,0.0010528484127165778
pos,show,361,0.0010416486325836925
pos,original,358,0.0010329922727561273
neg,trying,313,0.0010234209726095926
neg,now,312,0.00102015125704215
neg,john,311,0.0010168815414747072
neg,away,311,0.0010168815414747072
pos,always,352,0.0010156795531009967
pos,thing,352,0.0010156795531009967
pos,part,352,0.0010156795531009967
pos,bad,352,0.0010156795531009967
neg,again,309,0.0010103421103398215
pos,lot,349,0.0010070231932734312
pos,job,347,0.001001252286721721
neg,give,303,0.000990723816935165
pos,year,342,0.0009868250203424456
pos,away,339,0.0009781686605148804
pos,day,339,0.0009781686605148804
pos,again,337,0.0009723977539631701
pos,place,337,0.0009723977539631701
neg,young,297,0.0009711055235305081
pos,screen,336,0.000969512300687315
neg,dialogue,295,0.0009645660923956225
neg,want,291,0.0009514872301258513
neg,both,290,0.0009482175145584086
neg,screen,289,0.0009449477989909657
pos,actors,327,0.000943543221204619
neg,himself,288,0.000941678083423523
neg,series,288,0.000941678083423523
pos,gives,325,0.0009377723146529088
pos,american,324,0.0009348868613770537
pos,sense,323,0.0009320014081011986
pos,fun,323,0.0009320014081011986
neg,without,285,0.0009318689367211946
pos,during,321,0.0009262305015494884
pos,bit,321,0.0009262305015494884
neg,pretty,283,0.0009253295055863091
neg,three,283,0.0009253295055863091
neg,far,283,0.0009253295055863091
pos,times,319,0.0009204595949977783
pos,three,319,0.0009204595949977783
pos,picture,317,0.000914688688446068
neg,special,278,0.0009089809277490951
pos,far,315,0.0009089177818943578
neg,reason,277,0.0009057112121816524
pos,acting,313,0.0009031468753426476
pos,course,313,0.0009031468753426476
neg,looks,275,0.0008991717810467667
pos,making,311,0.0008973759687909374
neg,star,274,0.000895902065479324
neg,watch,274,0.000895902065479324
neg,takes,272,0.0008893626343444384
neg,seem,271,0.0008860929187769956
pos,home,307,0.000885834155687517
pos,wife,307,0.000885834155687517
pos,become,306,0.0008829487024116619
pos,goes,306,0.0008829487024116619
neg,place,270,0.0008828232032095528
neg,given,270,0.0008828232032095528
neg,day,270,0.0008828232032095528
